Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2017-11-01,1066.259033203125,1076.090646948349,1056.427419457901,1074.9231028111649,741882
2017-11-02,1075.803466796875,1095.4052804249627,1067.8562882377605,1068.5731765102898,1468422
2017-11-03,1073.325439453125,1080.1255785338622,1066.2384649792803,1078.3640611772369,666886
2017-11-06,1091.94384765625,1094.50416313442,1069.9046320176976,1073.284248448882,1377000
2017-11-07,1110.1737060546875,1133.9129399799015,1092.1490783960473,1093.7671783765668,2696892
2017-11-08,1120.3944091796875,1130.2260237392168,1113.5327615183494,1115.478601899923,1402252
2017-11-09,1120.9677734375,1126.5390611630994,1113.9628087373112,1126.5390611630994,1152432
2017-11-10,1109.6409912109375,1116.707463605359,1103.332412382596,1115.150771423249,1356566
2017-11-13,1130.205322265625,1137.7633546254135,1106.8962468552554,1106.8962468552554,1496996
2017-11-14,1112.03759765625,1129.2224209247845,1109.1290382895875,1129.2224209247845,1657252
2017-11-15,1108.227783203125,1128.587397929177,1106.6096833428658,1108.5145186193658,6670834
2017-11-16,1125.166748046875,1131.8645751687202,1100.7106279344075,1110.1530939946551,1653482
2017-11-17,1109.0469970703125,1125.7607601616037,1107.5313099789423,1125.7607601616037,1325464
2017-11-20,1107.4698486328125,1117.0761348019003,1104.13123638623,1112.2013328690346,1014498
2017-11-21,1094.97509765625,1106.465812228505,1092.1280471681578,1106.465812228505,1527740
2017-11-22,1098.129638671875,1110.030006412973,1094.7500218442087,1094.995852163882,1822624
2017-11-23,1098.37548828125,1103.188882029429,1093.357269267191,1098.27307564831,793470
2017-11-24,1101.1612548828125,1107.2445059514525,1095.036998751482,1098.682848886397,2287512
2017-11-27,1100.2598876953125,1104.3767954060138,1090.5715929026944,1101.140596307217,1856786
2017-11-28,1100.03466796875,1107.0396325322386,1093.7669944028491,1100.3214033580723,911716
2017-11-29,1088.9124755859375,1103.1888360273929,1085.5738638962462,1096.8392530498866,1447532
2017-11-30,1080.24853515625,1092.5175495215967,1074.5134272714615,1087.0691770285787,4299962
2017-12-01,1077.3604736328125,1092.947697491941,1073.898946392475,1079.4292289697394,1031144
2017-12-04,1078.3436279296875,1089.0559494360377,1066.299842169635,1074.1037048791766,1259104
2017-12-05,1079.654541015625,1086.2703574787354,1076.623066899021,1077.7906109865548,1167914
2017-12-06,1078.733154296875,1083.526047244404,1070.3558179038305,1079.8391911290166,1407518
2017-12-07,1072.1575927734375,1083.9145401652238,1071.235879301763,1078.322851775323,1326300
2017-12-08,1065.7060546875,1083.525856101648,1063.862626955002,1072.4652897066596,1385548
2017-12-11,1090.121337890625,1094.8527226849822,1068.5122670314054,1068.5122670314054,1008002
2017-12-12,1070.0684814453125,1090.4895982621774,1068.122641628729,1090.0799477744756,1882246
2017-12-13,1076.7255859375,1086.1680521726494,1065.5011996181286,1069.761525809277,2961458
2017-12-14,1047.8043212890625,1078.2003757081516,1036.8666703069557,1078.2003757081516,5504150
2017-12-15,1042.8070068359375,1058.7218787350798,1039.2225627128344,1050.2421280691888,2718138
2017-12-18,1057.10302734375,1060.5645537784317,1021.8116797084288,1039.283232075603,2180664
2017-12-19,1054.97314453125,1064.1902824576655,1050.6308084365332,1055.2598799309358,1801952
2017-12-20,1060.5645751953125,1062.121266999763,1044.8749420307263,1057.7175244020395,1577570
2017-12-21,1063.3299560546875,1068.368678027917,1056.9189646903246,1059.7660161266188,1293648
2017-12-22,1084.2425537109375,1091.2680203825464,1061.0767959499535,1066.7299933364623,3665664
2017-12-26,1085.3489990234375,1101.8579418086576,1078.0367942251057,1100.3217517234148,2175786
2017-12-27,1073.243408203125,1089.0559590294015,1069.3927331375785,1085.3486016452464,739284
2017-12-28,1076.13134765625,1087.0075882991307,1067.4057721117563,1068.6962311781854,2605088
2017-12-29,1106.5479736328125,1109.702262660033,1072.6903978840237,1074.5543277676695,2609542
2018-01-01,1083.7716064453125,1103.9263948299258,1079.429270324457,1098.8057626177604,1351760
2018-01-02,1077.8724365234375,1093.6030766199972,1073.3662807687306,1089.6703915927735,1920290
2018-01-03,1080.9244384765625,1093.3573733034416,1077.8725617270234,1078.2003021860842,1257120
2018-01-04,1088.482177734375,1090.489424799894,1081.477115504027,1085.5736197294211,913082
2018-01-05,1101.6318359375,1105.8512550609566,1085.5735602561715,1085.5735602561715,1153706
2018-01-08,1111.95556640625,1117.0557964676443,1098.6215191730291,1106.0566376769152,1242220
2018-01-09,1109.743408203125,1114.6592151054645,1096.4502670405184,1112.2013116542946,2149396
2018-01-10,1149.7255859375,1153.5762621485314,1103.8651143979432,1110.562942714726,3365850
2018-01-11,1143.1297607421875,1155.9927468928913,1139.729641469282,1151.1179457751466,2520744
2018-01-12,1137.33349609375,1149.0699459106766,1122.6679844465011,1149.0699459106766,3360314
2018-01-15,1124.941650390625,1150.2989847285205,1120.4149908649154,1137.6612226157142,1457214
2018-01-16,1167.8524169921875,1172.2765633258407,1126.7644430770874,1128.9970187757524,4267752
2018-01-17,1183.4598388671875,1198.2277599798329,1172.481185029692,1175.6969815870498,4280806
2018-01-18,1195.4423828125,1201.505231806014,1174.8984448511715,1186.7578099359096,2209478
2018-01-19,1212.2789306640625,1221.5779784384388,1189.481816833685,1200.5014769819347,1820000
2018-01-22,1279.6617431640625,1287.176142187684,1199.8369049855485,1215.8511552574296,4367110
2018-01-23,1273.7486572265625,1290.3172847922006,1268.8417474073817,1279.066188792109,3239610
2018-01-24,1303.5599365234375,1338.236925625243,1265.80318383721,1268.821294005258,5621538
2018-01-25,1281.5712890625,1305.6953216971872,1265.1258646378105,1303.72431685331,3833844
2018-01-29,1313.5174560546875,1324.255174970559,1281.9611337234373,1285.8209381646557,3141060
2018-01-30,1294.629150390625,1315.5503137682058,1290.8719002829139,1305.7774936089106,1574758
2018-01-31,1277.9989013671875,1293.4587732717423,1272.352851166398,1288.1206894455415,3043214
2018-02-01,1288.7777099609375,1309.8836318285437,1268.3287228687045,1282.782591170022,2400630
2018-02-02,1294.9576416015625,1309.8837869222402,1274.3444434371966,1281.140255547771,2456490
2018-02-05,1274.2413330078125,1309.062075775958,1263.42151056755,1277.033580822845,2757742
2018-02-06,1230.736328125,1263.544973525982,1225.7062105106766,1235.9717566623572,2657306
2018-02-07,1213.4080810546875,1244.594789565499,1210.2873149896404,1242.952302215363,2180324
2018-02-08,1221.271240234375,1243.1985027575197,1215.0298094214052,1223.5502110927448,2755004
2018-02-09,1220.2452392578125,1229.4021288714512,1189.42804159542,1211.3347629160926,2102458
2018-02-12,1218.43798828125,1241.4533583528332,1213.6131825229113,1222.9548277145884,1974562
2018-02-14,1195.6485595703125,1221.3739748592752,1187.723538897869,1219.5467279262477,2847532
2018-02-15,1201.4178466796875,1208.4599705263945,1192.8974442371382,1203.9225795372163,2465236
2018-02-16,1204.3743896484375,1231.701292737074,1200.247620168951,1200.247620168951,2515756
2018-02-19,1200.494140625,1212.6895901282571,1188.8324193537783,1209.2814085534058,1568224
2018-02-20,1209.1788330078125,1225.726915531677,1202.2598139331706,1202.300916222727,1889068
2018-02-21,1249.2347412109375,1257.5703839277498,1215.4610976466947,1221.1892517940198,3089228
2018-02-22,1252.478515625,1264.3044427719462,1241.10431252946,1253.2176548684574,3463010
2018-02-23,1262.9906005859375,1268.4107885024516,1228.6215746670205,1252.3965376926117,3362500
2018-02-26,1244.882080078125,1268.8007997180819,1240.5705512159868,1262.6620239118822,1363882
2018-02-27,1249.25537109375,1264.1198613671195,1245.005395031371,1248.7009915205804,1717800
2018-02-28,1246.2579345703125,1258.124866589477,1240.673437002776,1246.2373834267848,2706864
2018-03-01,1247.3460693359375,1256.995683550826,1240.0780820835562,1251.9861166466103,1718124
2018-03-05,1275.32958984375,1278.5323592628142,1245.3952044123262,1251.9857034851539,2858168
2018-03-06,1249.4403076171875,1284.0146507239772,1244.2458805561891,1281.9615412728674,1906764
2018-03-07,1243.1368408203125,1268.4106304738502,1239.4617960781213,1260.6088169487602,1917772
2018-03-08,1233.487548828125,1254.4087130969876,1226.732839102877,1254.4087130969876,1951826
2018-03-09,1245.867919921875,1257.816956803535,1222.5034741679267,1233.9187827907297,1872436
2018-03-12,1253.2794189453125,1266.3166624702644,1246.4426053540642,1249.5222691788558,2091340
2018-03-13,1185.3829345703125,1207.10478589984,1179.3057123814087,1201.0275637109362,88067154
2018-03-14,1185.4244384765625,1200.26848175714,1180.5586286373002,1187.9087212634417,3668668
2018-03-15,1178.361572265625,1191.8505409320148,1172.571863989468,1188.7503257321093,2348906
2018-03-16,1160.29443359375,1179.30625008478,1151.794579208847,1177.9922798838893,7197482
2018-03-19,1162.47021484375,1169.4507848375133,1157.953375436021,1161.648971315072,3489940
2018-03-20,1176.3701171875,1179.7987496896717,1157.5430641430607,1157.9536860175351,4024984
2018-03-21,1173.044189453125,1184.356843587012,1170.2724914470662,1179.5114848005956,3907678
2018-03-22,1162.6142578125,1180.9279328456714,1159.0007653498428,1174.357983004287,2326094
2018-03-23,1157.194091796875,1163.7435914396303,1148.9406515824564,1150.5625880717746,3654122
2018-03-26,1156.721923828125,1160.9923516047268,1142.1653971262633,1157.543167650509,2964210
2018-03-27,1169.32763671875,1175.6101700771223,1159.2058498215372,1160.006542252138,2494574
2018-03-28,1169.9232177734375,1180.537832822256,1160.006740077521,1164.4824781960826,6865654
2018-04-02,1194.76611328125,1196.5523588584122,1166.1663346458101,1166.1663346458101,1662988
2018-04-03,1195.4228515625,1203.080908905953,1187.5594832956356,1187.5594832956356,1937290
2018-04-04,1195.279541015625,1204.7649493258687,1187.5188253068889,1202.89659917391,2841820
2018-04-05,1214.598876953125,1216.9805037247759,1199.1595555962551,1201.7053910075474,1809424
2018-04-06,1211.4576416015625,1215.4406534226814,1201.705372845215,1212.9769223684461,1129018
2018-04-09,1200.6173095703125,1216.877976588584,1196.962814832368,1207.1051555119252,1235866
2018-04-10,1206.24267578125,1214.3113542922824,1201.3562160657314,1201.3562160657314,1184532
2018-04-11,1237.6756591796875,1242.1309458123865,1209.5276149708484,1211.580723972191,3124416
2018-04-12,1289.044677734375,1293.4588627421458,1235.1300073104971,1235.971802175828,6114360
2018-04-13,1294.813720703125,1330.7431276124448,1286.1085587361306,1293.4586487355098,8179118
2018-04-16,1308.9180908203125,1313.9687572743883,1277.341325352423,1279.4970890615284,6270274
2018-04-17,1300.275146484375,1311.916215389831,1292.309022713186,1308.918655935968,3301724
2018-04-18,1297.1954345703125,1311.300233969257,1291.7546954431134,1300.028685034878,2433066
2018-04-19,1310.355712890625,1321.052430797215,1299.9259593028817,1305.736217655007,4820952
2018-04-20,1397.1199951171875,1405.291428336802,1330.4145098800375,1334.5207275031241,18465662
2018-04-23,1399.6661376953125,1460.9514491928026,1391.8233204607295,1405.9692232321981,15185910
2018-04-24,1390.2218017578125,1413.8325577151063,1372.5035093435629,1400.2204837282122,8314336
2018-04-25,1424.96044921875,1430.1958777116652,1381.7630514290618,1389.9549371386697,8196574
2018-04-26,1453.293212890625,1461.8136152830755,1423.6257876928155,1423.6257876928155,12135034
2018-04-27,1417.4461669921875,1455.2439307861193,1404.3268180836706,1447.442115130099,4501330
2018-04-30,1450.3575439453125,1457.2970134332982,1411.5537773154317,1417.4461409873184,3458558
2018-05-02,1437.073974609375,1450.3986350298185,1425.3918017661695,1449.7005978593895,3158046
